buyer_id,age,gender,annual_income_usd,city_type,daily_commute_km,number_of_cars_owned,current_car_type,charging_stations_near_home,charging_stations_near_work,home_charging_possible,environmental_concern_level,subsidy_available,range_anxiety_level,will_buy_ev,age_group
EV00001,56,Male,44906.0,Rural,18.1,1,Truck,1,0,Yes,4,Yes,Low,No,51-60
EV00002,36,Male,88754.0,Rural,5.0,1,SUV,2,3,Yes,1,Yes,Low,No,31-40
EV00003,42,Male,155958.0,Urban,32.2,2,Sedan,14,3,No,2,Yes,Medium,Yes,41-50
EV00004,31,Male,37059.0,Rural,89.9,1,Sedan,2,1,Yes,4,No,Low,No,31-40
EV00005,48,Female,48552.0,Rural,71.0,1,Sedan,2,0,Yes,3,Yes,Low,No,41-50
EV00006,36,Male,65370.0,Urban,75.7,2,SUV,6,8,Yes,5,Yes,Low,No,31-40
EV00007,34,Female,128669.0,Rural,85.4,1,Hatchback,2,2,Yes,5,Yes,Low,Yes,31-40
EV00008,38,Male,93811.0,Urban,12.0,3,Hatchback,14,10,No,2,Yes,Low,No,31-40
EV00009,65,Female,104837.0,Urban,40.6,2,Truck,13,3,No,3,Yes,Low,Yes,61-70
EV00010,29,Female,87121.0,Suburban,42.9,2,SUV,5,2,Yes,5,No,Low,No,18-30
EV00011,65,Other,88554.0,Urban,45.0,2,Hatchback,8,8,Yes,3,No,Low,No,61-70
EV00012,53,Male,109461.0,Suburban,49.5,2,Sedan,5,6,Yes,1,No,Low,No,51-60
EV00013,25,Male,83760.0,Urban,44.7,3,SUV,12,9,No,2,Yes,Low,Yes,18-30
EV00014,30,Female,60341.0,Urban,30.6,2,Hatchback,7,4,No,5,Yes,Low,No,18-30
EV00015,37,Male,85800.0,Suburban,35.4,2,Truck,0,2,No,2,No,Medium,No,31-40
EV00016,54,Male,106008.0,Rural,22.9,1,Sedan,1,1,Yes,5,Yes,Low,No,51-60
EV00017,65,Female,98346.0,Rural,26.9,2,SUV,1,3,Yes,5,No,Low,No,61-70
EV00018,44,Male,120226.0,Urban,49.1,3,Hatchback,2,19,No,4,Yes,Medium,No,41-50
EV00019,33,Male,75736.0,Suburban,52.1,2,Truck,2,8,Yes,1,Yes,Low,No,31-40
EV00020,54,Female,54729.0,Suburban,67.6,1,SUV,1,9,Yes,1,Yes,Low,No,51-60
EV00021,59,Male,56001.0,Urban,85.2,2,SUV,9,16,No,5,Yes,Low,Yes,51-60
EV00022,69,Female,56342.0,Urban,95.0,2,Sedan,9,19,Yes,1,Yes,Low,No,61-70
EV00023,33,Female,79934.0,Suburban,40.0,2,Hatchback,7,5,Yes,3,Yes,Low,No,31-40
EV00024,44,Female,108205.0,Urban,81.3,1,Sedan,13,19,Yes,2,No,Low,No,41-50
EV00025,35,Female,112801.0,Urban,21.8,1,Sedan,8,3,No,1,Yes,Low,No,31-40
EV00026,37,Male,115169.0,Suburban,27.0,1,SUV,5,1,No,3,Yes,Medium,No,31-40
EV00027,56,Male,77164.0,Suburban,18.3,2,Sedan,4,6,Yes,1,Yes,Low,No,51-60
EV00028,68,Male,59698.0,Suburban,56.0,1,Sedan,0,3,Yes,4,No,Low,No,61-70
EV00029,48,Male,151911.0,Urban,22.4,1,SUV,9,16,Yes,1,Yes,Low,No,41-50
EV00030,25,Female,102879.0,Urban,50.7,3,Sedan,2,8,Yes,1,No,Low,No,18-30
EV00031,66,Male,59703.0,Urban,42.3,2,Hatchback,4,4,Yes,1,Yes,Low,No,61-70
EV00032,34,Male,87624.0,Urban,16.7,2,Sedan,8,12,No,3,Yes,Low,Yes,31-40
EV00033,33,Male,90104.0,Rural,58.5,2,SUV,0,0,Yes,5,No,Low,No,31-40
EV00034,61,Male,116015.0,Urban,5.0,2,SUV,2,10,No,3,Yes,Low,No,61-70
EV00035,44,Female,128080.0,Suburban,21.7,2,Sedan,7,4,Yes,2,No,Low,No,41-50
EV00036,60,Male,84708.0,Urban,33.1,4,SUV,6,12,No,4,No,Medium,No,51-60
EV00037,53,Female,105536.0,Urban,37.1,2,Hatchback,10,12,Yes,5,No,Low,No,51-60
EV00038,32,Male,83198.0,Suburban,45.1,1,SUV,6,9,Yes,2,No,Low,No,31-40
EV00039,35,Female,137112.0,Urban,22.0,2,SUV,7,18,No,2,No,Low,No,31-40
EV00040,64,Male,36128.0,Urban,64.7,1,Hatchback,12,14,Yes,3,Yes,Low,No,61-70
EV00041,63,Male,88159.0,Urban,8.3,2,Hatchback,10,11,No,2,Yes,Low,Yes,61-70
EV00042,34,Male,74022.0,Suburban,11.9,2,Hatchback,5,4,Yes,3,No,Low,No,31-40
EV00043,43,Male,86147.0,Rural,5.0,2,Hatchback,1,0,Yes,5,No,Low,No,41-50
EV00044,32,Male,42679.0,Urban,19.4,1,SUV,9,8,No,1,Yes,Low,No,31-40
EV00045,64,Male,45307.0,Suburban,60.5,2,SUV,7,2,No,1,Yes,Medium,No,61-70
EV00046,40,Male,88503.0,Urban,5.0,1,SUV,11,8,No,2,Yes,Low,No,31-40
EV00047,69,Male,45787.0,Urban,45.8,2,Sedan,7,9,No,3,No,Medium,No,61-70
EV00048,25,Male,30000.0,Suburban,59.2,1,SUV,0,1,Yes,5,Yes,Low,No,18-30
EV00049,67,Male,54878.0,Urban,38.9,2,Sedan,9,9,Yes,3,Yes,Low,No,61-70
EV00050,37,Male,51068.0,Suburban,42.1,2,SUV,6,6,Yes,3,No,Low,No,31-40
EV00051,42,Male,124042.0,Suburban,46.7,2,Hatchback,2,3,Yes,5,Yes,Low,Yes,41-50
EV00052,36,Male,54580.0,Suburban,60.5,1,SUV,2,9,Yes,4,No,Low,No,31-40
EV00053,40,Male,39063.0,Urban,5.0,2,Sedan,14,7,Yes,3,Yes,Low,No,31-40
EV00054,58,Male,68155.0,Suburban,24.4,2,Sedan,1,4,No,2,Yes,Medium,No,51-60
EV00055,54,Female,30000.0,Urban,35.3,2,Sedan,2,8,Yes,3,No,Low,No,51-60
EV00056,49,Female,47733.0,Urban,50.1,1,Truck,2,6,Yes,2,Yes,Low,No,41-50
EV00057,61,Female,56454.0,Urban,78.9,1,Hatchback,9,18,No,1,Yes,Low,No,61-70
EV00058,44,Other,118688.0,Urban,81.1,1,Sedan,13,9,Yes,2,Yes,Low,No,41-50
EV00059,60,Male,84708.0,Rural,32.9,2,Hatchback,0,0,Yes,5,Yes,Low,Yes,51-60
EV00060,55,Female,101814.0,Urban,5.0,2,Sedan,8,8,No,2,Yes,Medium,No,51-60
EV00061,35,Male,116042.0,Suburban,58.9,1,SUV,2,6,Yes,2,No,Low,No,31-40
EV00062,64,Female,63647.0,Urban,40.6,1,Sedan,14,9,No,1,No,Low,No,61-70
EV00063,45,Male,92502.0,Urban,49.3,1,Sedan,13,19,No,5,Yes,Low,No,41-50
EV00064,52,Male,99320.0,Suburban,40.2,2,SUV,3,9,No,1,No,Low,No,51-60
EV00065,33,Male,34931.0,Urban,51.8,1,Hatchback,2,13,No,3,Yes,Medium,No,31-40
EV00066,47,Male,41847.0,Urban,49.4,3,Hatchback,7,9,Yes,5,Yes,Low,No,41-50
EV00067,51,Female,91292.0,Urban,71.4,2,Sedan,6,5,No,1,Yes,Low,No,51-60
EV00068,48,Male,63912.0,Urban,29.2,1,Hatchback,5,16,No,2,Yes,Low,No,41-50
EV00069,62,Female,46223.0,Suburban,44.3,2,Sedan,3,7,Yes,3,No,Low,No,61-70
